StartTime;LastResetTime;CurrentTime;ElapsedTime(P);ElapsedTime(C);TargetRate;CallRate(P);CallRate(C);IncomingCall(P);IncomingCall(C);OutgoingCall(P);OutgoingCall(C);TotalCallCreated;CurrentCall;SuccessfulCall(P);SuccessfulCall(C);FailedCall(P);FailedCall(C);FailedCannotSendMessage(P);FailedCannotSendMessage(C);FailedMaxUDPRetrans(P);FailedMaxUDPRetrans(C);FailedTcpConnect(P);FailedTcpConnect(C);FailedTcpClosed(P);FailedTcpClosed(C);FailedUnexpectedMessage(P);FailedUnexpectedMessage(C);FailedCallRejected(P);FailedCallRejected(C);FailedCmdNotSent(P);FailedCmdNotSent(C);FailedRegexpDoesntMatch(P);FailedRegexpDoesntMatch(C);FailedRegexpShouldntMatch(P);FailedRegexpShouldntMatch(C);FailedRegexpHdrNotFound(P);FailedRegexpHdrNotFound(C);FailedOutboundCongestion(P);FailedOutboundCongestion(C);FailedTimeoutOnRecv(P);FailedTimeoutOnRecv(C);FailedTimeoutOnSend(P);FailedTimeoutOnSend(C);OutOfCallMsgs(P);OutOfCallMsgs(C);DeadCallMsgs(P);DeadCallMsgs(C);Retransmissions(P);Retransmissions(C);AutoAnswered(P);AutoAnswered(C);Warnings(P);Warnings(C);FatalErrors(P);FatalErrors(C);WatchdogMajor(P);WatchdogMajor(C);WatchdogMinor(P);WatchdogMinor(C);ResponseTime1(P);ResponseTime1(C);ResponseTime1StDev(P);ResponseTime1StDev(C);CallLength(P);CallLength(C);CallLengthStDev(P);CallLengthStDev(C);ResponseTimeRepartition1;<10;<20;<30;<40;<50;<100;<150;<200;>=200;CallLengthRepartition;<10;<50;<100;<500;<1000;<5000;<10000;>=10000;
2013-04-27	10:34:16:159	1367051656.159378;2013-04-27	10:34:16:159	1367051656.159378;2013-04-27	10:34:16:163	1367051656.163285;00:00:00;00:00:00;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;00:00:00:000;00:00:00:000;00:00:00:000;00:00:00:000;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;
2013-04-27	10:34:16:159	1367051656.159378;2013-04-27	10:34:16:163	1367051656.163609;2013-04-27	10:34:18:165	1367051658.165505;00:00:02;00:00:02;2;1.49925;1.49551;0;0;3;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:207;00:00:00:207;00:00:00:000;00:00:00:000;00:00:00:000;00:00:00:000;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;0;3;;0;0;0;0;0;0;0;0;
2013-04-27	10:34:16:159	1367051656.159378;2013-04-27	10:34:18:165	1367051658.165657;2013-04-27	10:34:20:165	1367051660.165639;00:00:01;00:00:04;2;1.50075;1.49775;0;0;3;6;6;5;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:208;00:00:00:208;00:00:00:000;00:00:00:000;00:00:03:214;00:00:03:214;2562047788015:12:55:808;2562047788015:12:55:808;;0;0;0;0;0;0;0;0;5;;0;0;0;0;0;1;0;0;
2013-04-27	10:34:16:159	1367051656.159378;2013-04-27	10:34:20:165	1367051660.165752;2013-04-27	10:34:22:167	1367051662.167631;00:00:02;00:00:06;2;1.999;1.66445;0;0;4;10;10;5;4;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:660;00:00:00:409;00:00:00:193;00:00:00:266;00:00:03:213;00:00:03:213;00:00:00:001;00:00:00:001;;0;0;0;0;0;0;0;0;9;;0;0;0;0;0;5;0;0;
2013-04-27	10:34:16:159	1367051656.159378;2013-04-27	10:34:22:167	1367051662.167724;2013-04-27	10:34:24:169	1367051664.169630;00:00:02;00:00:08;2;0.49975;1.37328;0;0;1;11;11;5;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;00:00:00:665;00:00:00:455;00:00:00:073;00:00:00:260;00:00:03:413;00:00:03:246;2562047788015:12:55:808;00:00:00:081;;0;0;0;0;0;0;0;0;11;;0;0;0;0;0;6;0;0;
2013-04-27	10:34:16:159	1367051656.159378;2013-04-27	10:34:24:169	1367051664.169711;2013-04-27	10:34:26:171	1367051666.171636;00:00:02;00:00:10;2;1.999;1.4982;0;0;4;15;15;5;4;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;5;0;0;0;0;0;0;3;5;0;0;0;0;0;0;00:00:00:581;00:00:00:482;00:00:00:115;00:00:00:239;00:00:03:743;00:00:03:445;00:00:00:094;00:00:00:268;;0;0;0;0;0;0;0;0;14;;0;0;0;0;0;10;0;0;
2013-04-27	10:34:16:159	1367051656.159378;2013-04-27	10:34:26:171	1367051666.171744;2013-04-27	10:34:28:172	1367051668.172631;00:00:02;00:00:12;2;1;1.41513;0;0;2;17;17;5;2;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;5;0;0;0;0;0;0;00:00:00:663;00:00:00:505;00:00:00:070;00:00:00:231;00:00:03:570;00:00:03:466;00:00:00:070;00:00:00:248;;0;0;0;0;0;0;0;0;16;;0;0;0;0;0;12;0;0;
2013-04-27	10:34:16:159	1367051656.159378;2013-04-27	10:34:28:172	1367051668.172713;2013-04-27	10:34:30:174	1367051670.174635;00:00:02;00:00:14;2;1.49925;1.42704;0;0;3;20;20;5;3;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;5;0;0;0;0;0;0;00:00:00:742;00:00:00:552;00:00:00:152;00:00:00:235;00:00:03:651;00:00:03:503;00:00:00:116;00:00:00:237;;0;0;0;0;0;0;0;0;20;;0;0;0;0;0;15;0;0;
2013-04-27	10:34:16:159	1367051656.159378;2013-04-27	10:34:30:174	1367051670.174728;2013-04-27	10:34:32:176	1367051672.176634;00:00:02;00:00:16;2;0.9995;1.37354;0;0;2;22;22;5;2;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;5;0;0;0;0;0;0;00:00:00:612;00:00:00:555;00:00:00:000;00:00:00:229;00:00:03:616;00:00:03:516;00:00:00:001;00:00:00:225;;0;0;0;0;0;0;0;0;21;;0;0;0;0;0;17;0;0;
2013-04-27	10:34:16:159	1367051656.159378;2013-04-27	10:34:32:176	1367051672.176737;2013-04-27	10:34:34:177	1367051674.177632;00:00:02;00:00:18;2;2;1.443;0;0;4;26;26;5;4;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;5;0;0;0;0;0;0;00:00:01:020;00:00:00:629;00:00:00:081;00:00:00:274;00:00:03:748;00:00:03:560;00:00:00:152;00:00:00:229;;0;0;0;0;0;0;0;0;25;;0;0;0;0;0;21;0;0;
